Output Areas Code,Output Areas,Distance travelled to work (11 categories) Code,Distance travelled to work (11 categories),Observation
E00056765,E00056765,-8,Does not apply,165
E00056765,E00056765,1,Less than 2km,16
E00056765,E00056765,2,2km to less than 5km,18
E00056765,E00056765,3,5km to less than 10km,15
E00056765,E00056765,4,10km to less than 20km,33
E00056765,E00056765,5,20km to less than 30km,5
E00056765,E00056765,6,30km to less than 40km,3
E00056765,E00056765,7,40km to less than 60km,1
E00056765,E00056765,8,60km and over,2
E00056765,E00056765,9,Works mainly from home,63
E00056765,E00056765,10,"Works mainly at an offshore installation, in no fixed place, or outside the UK",12
E00056766,E00056766,-8,Does not apply,180
E00056766,E00056766,1,Less than 2km,20
E00056766,E00056766,2,2km to less than 5km,10
E00056766,E00056766,3,5km to less than 10km,24
E00056766,E00056766,4,10km to less than 20km,29
E00056766,E00056766,5,20km to less than 30km,3
E00056766,E00056766,6,30km to less than 40km,0
E00056766,E00056766,7,40km to less than 60km,2
E00056766,E00056766,8,60km and over,0
E00056766,E00056766,9,Works mainly from home,66
E00056766,E00056766,10,"Works mainly at an offshore installation, in no fixed place, or outside the UK",18
E00056767,E00056767,-8,Does not apply,142
E00056767,E00056767,1,Less than 2km,14
E00056767,E00056767,2,2km to less than 5km,8
E00056767,E00056767,3,5km to less than 10km,11
E00056767,E00056767,4,10km to less than 20km,18
E00056767,E00056767,5,20km to less than 30km,2
E00056767,E00056767,6,30km to less than 40km,0
E00056767,E00056767,7,40km to less than 60km,2
E00056767,E00056767,8,60km and over,3
E00056767,E00056767,9,Works mainly from home,33
E00056767,E00056767,10,"Works mainly at an offshore installation, in no fixed place, or outside the UK",20
E00056768,E00056768,-8,Does not apply,201
E00056768,E00056768,1,Less than 2km,18
E00056768,E00056768,2,2km to less than 5km,20
E00056768,E00056768,3,5km to less than 10km,24
E00056768,E00056768,4,10km to less than 20km,42
E00056768,E00056768,5,20km to less than 30km,9
E00056768,E00056768,6,30km to less than 40km,0
E00056768,E00056768,7,40km to less than 60km,0
E00056768,E00056768,8,60km and over,1
E00056768,E00056768,9,Works mainly from home,50
E00056768,E00056768,10,"Works mainly at an offshore installation, in no fixed place, or outside the UK",24
E00056769,E00056769,-8,Does not apply,164
E00056769,E00056769,1,Less than 2km,32
E00056769,E00056769,2,2km to less than 5km,12
E00056769,E00056769,3,5km to less than 10km,17
E00056769,E00056769,4,10km to less than 20km,26
E00056769,E00056769,5,20km to less than 30km,2
E00056769,E00056769,6,30km to less than 40km,1
E00056769,E00056769,7,40km to less than 60km,1
E00056769,E00056769,8,60km and over,1
E00056769,E00056769,9,Works mainly from home,26
E00056769,E00056769,10,"Works mainly at an offshore installation, in no fixed place, or outside the UK",29
E00056770,E00056770,-8,Does not apply,163
E00056770,E00056770,1,Less than 2km,28
E00056770,E00056770,2,2km to less than 5km,11
E00056770,E00056770,3,5km to less than 10km,12
E00056770,E00056770,4,10km to less than 20km,28
E00056770,E00056770,5,20km to less than 30km,1
E00056770,E00056770,6,30km to less than 40km,0
E00056770,E00056770,7,40km to less than 60km,1
E00056770,E00056770,8,60km and over,1
E00056770,E00056770,9,Works mainly from home,47
E00056770,E00056770,10,"Works mainly at an offshore installation, in no fixed place, or outside the UK",16
E00056771,E00056771,-8,Does not apply,131
E00056771,E00056771,1,Less than 2km,29
E00056771,E00056771,2,2km to less than 5km,13
E00056771,E00056771,3,5km to less than 10km,11
E00056771,E00056771,4,10km to less than 20km,29
E00056771,E00056771,5,20km to less than 30km,4
E00056771,E00056771,6,30km to less than 40km,0
E00056771,E00056771,7,40km to less than 60km,1
E00056771,E00056771,8,60km and over,0
E00056771,E00056771,9,Works mainly from home,32
E00056771,E00056771,10,"Works mainly at an offshore installation, in no fixed place, or outside the UK",18
E00056772,E00056772,-8,Does not apply,253
E00056772,E00056772,1,Less than 2km,17
E00056772,E00056772,2,2km to less than 5km,19
E00056772,E00056772,3,5km to less than 10km,47
E00056772,E00056772,4,10km to less than 20km,51
E00056772,E00056772,5,20km to less than 30km,9
E00056772,E00056772,6,30km to less than 40km,1
E00056772,E00056772,7,40km to less than 60km,2
E00056772,E00056772,8,60km and over,0
E00056772,E00056772,9,Works mainly from home,116
E00056772,E00056772,10,"Works mainly at an offshore installation, in no fixed place, or outside the UK",47
E00056773,E00056773,-8,Does not apply,130
E00056773,E00056773,1,Less than 2km,13
E00056773,E00056773,2,2km to less than 5km,14
E00056773,E00056773,3,5km to less than 10km,15
E00056773,E00056773,4,10km to less than 20km,23
E00056773,E00056773,5,20km to less than 30km,4
E00056773,E00056773,6,30km to less than 40km,1
E00056773,E00056773,7,40km to less than 60km,0
E00056773,E00056773,8,60km and over,1
E00056773,E00056773,9,Works mainly from home,63
E00056773,E00056773,10,"Works mainly at an offshore installation, in no fixed place, or outside the UK",31
E00056774,E00056774,-8,Does not apply,105
E00056774,E00056774,1,Less than 2km,0
E00056774,E00056774,2,2km to less than 5km,6
E00056774,E00056774,3,5km to less than 10km,20
E00056774,E00056774,4,10km to less than 20km,18
E00056774,E00056774,5,20km to less than 30km,4
E00056774,E00056774,6,30km to less than 40km,0
E00056774,E00056774,7,40km to less than 60km,0
E00056774,E00056774,8,60km and over,5
E00056774,E00056774,9,Works mainly from home,30
E00056774,E00056774,10,"Works mainly at an offshore installation, in no fixed place, or outside the UK",22
E00056775,E00056775,-8,Does not apply,120
E00056775,E00056775,1,Less than 2km,6
E00056775,E00056775,2,2km to less than 5km,9
E00056775,E00056775,3,5km to less than 10km,15
E00056775,E00056775,4,10km to less than 20km,24
E00056775,E00056775,5,20km to less than 30km,5
E00056775,E00056775,6,30km to less than 40km,1
E00056775,E00056775,7,40km to less than 60km,4
E00056775,E00056775,8,60km and over,1
E00056775,E00056775,9,Works mainly from home,65
E00056775,E00056775,10,"Works mainly at an offshore installation, in no fixed place, or outside the UK",20
E00056776,E00056776,-8,Does not apply,183
E00056776,E00056776,1,Less than 2km,8
E00056776,E00056776,2,2km to less than 5km,5
E00056776,E00056776,3,5km to less than 10km,14
E00056776,E00056776,4,10km to less than 20km,11
E00056776,E00056776,5,20km to less than 30km,3
E00056776,E00056776,6,30km to less than 40km,2
E00056776,E00056776,7,40km to less than 60km,0
E00056776,E00056776,8,60km and over,0
E00056776,E00056776,9,Works mainly from home,52
E00056776,E00056776,10,"Works mainly at an offshore installation, in no fixed place, or outside the UK",14
E00056777,E00056777,-8,Does not apply,112
E00056777,E00056777,1,Less than 2km,13
E00056777,E00056777,2,2km to less than 5km,19
E00056777,E00056777,3,5km to less than 10km,12
E00056777,E00056777,4,10km to less than 20km,20
E00056777,E00056777,5,20km to less than 30km,14
E00056777,E00056777,6,30km to less than 40km,1
E00056777,E00056777,7,40km to less than 60km,1
E00056777,E00056777,8,60km and over,0
E00056777,E00056777,9,Works mainly from home,57
E00056777,E00056777,10,"Works mainly at an offshore installation, in no fixed place, or outside the UK",11
E00056778,E00056778,-8,Does not apply,63
E00056778,E00056778,1,Less than 2km,2
E00056778,E00056778,2,2km to less than 5km,1
E00056778,E00056778,3,5km to less than 10km,4
E00056778,E00056778,4,10km to less than 20km,10
E00056778,E00056778,5,20km to less than 30km,4
E00056778,E00056778,6,30km to less than 40km,0
E00056778,E00056778,7,40km to less than 60km,0
E00056778,E00056778,8,60km and over,0
E00056778,E00056778,9,Works mainly from home,22
E00056778,E00056778,10,"Works mainly at an offshore installation, in no fixed place, or outside the UK",6
E00056779,E00056779,-8,Does not apply,258
E00056779,E00056779,1,Less than 2km,15
E00056779,E00056779,2,2km to less than 5km,17
E00056779,E00056779,3,5km to less than 10km,25
E00056779,E00056779,4,10km to less than 20km,41
E00056779,E00056779,5,20km to less than 30km,6
E00056779,E00056779,6,30km to less than 40km,0
E00056779,E00056779,7,40km to less than 60km,0
E00056779,E00056779,8,60km and over,0
E00056779,E00056779,9,Works mainly from home,107
